zipcode,Households!!Total,Households!!Median income (dollars),Households!!Mean income (dollars),Families!!Total,Total!!Population for whom poverty status is determined,Total!!Population for whom poverty status is determined!!SEX!!Male,Total!!Population for whom poverty status is determined!!SEX!!Female,Below poverty level!!Population for whom poverty status is determined,Percent below poverty level!!Population for whom poverty status is determined,"Total number of housing units
",Total number of Occupied housing units,Total number of vacant housing units,Total population,RACE!!Total population!!One race!!White,RACE!!Total population!!One race!!Black or African American,RACE!!Total population!!One race!!American Indian and Alaska Native,RACE!!Total population!!One race!!Asian,RACE!!Total population!!One race!!Some Other Race
10001,15097,123393,205444,4715,27621,13772,13849,4293,15.5,17554,15097,2457,29079,15893,3070,32,5228,1653
10002,35771,46525,93314,16924,74729,37794,36935,18611,24.9,39646,35771,3875,75517,23597,7074,262,27700,9006
10003,25080,153750,248577,6847,44368,22634,21734,5614,12.7,30730,25080,5650,53825,36193,2367,68,9639,1366
10004,1775,220592,309645,799,3860,2117,1743,157,4.1,2146,1775,371,3875,2460,278,0,923,33
10005,5156,211810,279387,1432,9238,4637,4601,424,4.6,6495,5156,1339,9238,6254,405,0,1311,433
10006,2305,209972,235292,792,4475,1974,2501,580,13,2605,2305,300,4475,2932,271,0,1058,127
10007,3309,"250,000+",512350,1690,7470,3366,4104,232,3.1,3711,3309,402,7802,5593,704,0,1179,76
10009,30025,87963,134024,10493,58283,29195,29088,11359,19.5,32375,30025,2350,58341,32293,5002,185,7533,6802
10010,16192,156127,253684,6113,29548,13989,15559,2696,9.1,19014,16192,2822,31905,20884,2912,112,4517,749
10011,28277,146571,238674,8360,47366,24006,23360,4295,9.1,35049,28277,6772,49344,35340,1950,60,5118,2516
10012,11909,130938,219222,3593,20871,9988,10883,2299,11,14568,11909,2659,21846,15076,715,66,3780,718
10013,12609,159474,385678,6489,26287,12439,13848,2609,9.9,15933,12609,3324,28215,15873,1053,14,8621,680
10014,17682,167254,276638,5181,29384,14533,14851,1896,6.5,21835,17682,4153,29772,24317,907,58,1516,480
10016,30164,153065,217368,8528,52988,26146,26842,5180,9.8,36985,30164,6821,54297,33663,2534,65,10830,1011
10017,9529,132518,182585,2667,14945,6874,8071,1522,10.2,12866,9529,3337,14985,10102,491,28,2736,586
